subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	903.705373	-420.000000	0.000000	30.000000	950.585326	0.000000	0.000000	0.000000	0	1.500712	435.485016	226.531505	-356.398219	-249.876159	226.208712	-357.615944	-244.216338	46.703354	0.000000	-420.000000	0	5.798329	0.012921	0.006824	226.370109	-357.007082	-247.046249	179.666755	357.007082	172.953751	357.615944	175.783662	197.123841	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	950.895429	-420.000000	0.000000	31.000000	997.933641	0.000000	0.000000	0.000000	0	1.503707	435.506188	226.633203	-356.405079	-249.891874	226.217749	-357.606133	-244.202960	46.703354	0.000000	-420.000000	0	5.829140	0.030811	0.021172	226.425476	-357.005606	-247.047417	179.722122	357.005606	172.952583	357.606133	175.797040	197.108126	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	998.155205	-420.000000	0.000000	32.000000	1044.275511	0.000000	0.000000	0.000000	0	1.459651	435.498284	226.626215	-356.425513	-249.900325	226.110668	-357.650521	-244.249612	46.703354	0.000000	-420.000000	0	5.804910	0.024230	0.007904	226.368441	-357.038017	-247.074968	179.665087	357.038017	172.925032	357.650521	175.750388	197.099675	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1044.488092	-420.000000	0.000000	33.000000	1091.465139	0.000000	0.000000	0.000000	0	1.486965	435.464926	226.357147	-356.433901	-249.888142	226.220078	-357.613012	-244.203847	46.703354	0.000000	-420.000000	0	5.806918	0.002008	0.033359	226.288613	-357.023456	-247.045994	179.585259	357.023456	172.954006	357.613012	175.796153	197.111858	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1091.691407	-420.000000	0.000000	34.000000	1138.531153	0.000000	0.000000	0.000000	0	1.481092	435.475845	226.439609	-356.427681	-249.881160	226.196195	-357.623232	-244.224929	46.703354	0.000000	-420.000000	0	5.786323	0.020595	0.010919	226.317902	-357.025456	-247.053045	179.614548	357.025456	172.946955	357.623232	175.775071	197.118840	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1138.743307	-420.000000	0.000000	35.000000	1185.592035	0.000000	0.000000	0.000000	0	1.478880	435.500076	226.461775	-356.444043	-249.906004	226.275923	-357.613725	-244.198044	46.703354	0.000000	-420.000000	0	5.829537	0.043213	0.024231	226.368849	-357.028884	-247.052024	179.665495	357.028884	172.947976	357.613725	175.801956	197.093996	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1185.804188	-420.000000	0.000000	36.000000	1232.917253	0.000000	0.000000	0.000000	0	1.402171	435.477600	226.538968	-356.440935	-249.907500	226.002911	-357.723077	-244.325738	46.703354	0.000000	-420.000000	0	5.752157	0.077380	0.022476	226.270939	-357.082006	-247.116619	179.567585	357.082006	172.883381	357.723077	175.674262	197.092500	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1233.130690	-420.000000	0.000000	37.000000	1279.694122	0.000000	0.000000	0.000000	0	1.355215	435.469984	226.465996	-356.464808	-249.934048	225.899614	-357.794281	-244.350913	46.703354	0.000000	-420.000000	0	5.767121	0.014964	0.007616	226.182805	-357.129545	-247.142480	179.479451	357.129545	172.857520	357.794281	175.649087	197.065952	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1279.906276	-420.000000	0.000000	38.000000	1327.145093	0.000000	0.000000	0.000000	0	1.385381	435.485589	226.522009	-356.472470	-249.934230	226.067211	-357.706389	-244.338601	46.703354	0.000000	-420.000000	0	5.748083	0.019038	0.015605	226.294610	-357.089429	-247.136416	179.591256	357.089429	172.863584	357.706389	175.661399	197.065770	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1327.416273	-420.000000	0.000000	39.000000	1374.378349	0.000000	0.000000	0.000000	0	1.413451	435.491150	226.503202	-356.494407	-249.938738	226.231151	-357.622826	-244.329590	46.703354	0.000000	-420.000000	0	5.727992	0.020092	0.005561	226.367176	-357.058617	-247.134164	179.663822	357.058617	172.865836	357.622826	175.670410	197.061262	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1374.699146	-420.000000	0.000000	40.000000	1421.552579	0.000000	0.000000	0.000000	0	1.397003	435.483864	226.533308	-356.514829	-249.958284	226.223626	-357.605879	-244.377409	46.703354	0.000000	-420.000000	0	5.694951	0.033041	0.007286	226.378467	-357.060354	-247.167847	179.675113	357.060354	172.832153	357.605879	175.622591	197.041716	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1421.790824	-420.000000	0.000000	41.000000	1468.644257	0.000000	0.000000	0.000000	0	1.404331	435.435777	226.292219	-356.540655	-249.936944	226.290039	-357.557233	-244.412372	46.703354	0.000000	-420.000000	0	5.617325	0.077626	0.048087	226.291129	-357.048944	-247.174658	179.587775	357.048944	172.825342	357.557233	175.587628	197.063056	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1479.001715	-420.000000	0.000000	42.000000	1527.322258	0.000000	0.000000	0.000000	0	1.359879	435.446190	226.424452	-356.571226	-249.962617	226.230164	-357.570530	-244.500077	46.703354	0.000000	-420.000000	0	5.556591	0.060734	0.010412	226.327308	-357.070878	-247.231347	179.623954	357.070878	172.768653	357.570530	175.499923	197.037383	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1527.534840	-420.000000	0.000000	43.000000	1574.212476	0.000000	0.000000	0.000000	0	1.386757	435.473887	226.453767	-356.567268	-249.941006	226.331681	-357.546193	-244.459646	46.703354	0.000000	-420.000000	0	5.569426	0.012835	0.027697	226.392724	-357.056731	-247.200326	179.689370	357.056731	172.799674	357.546193	175.540354	197.058994	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1574.425057	-420.000000	0.000000	44.000000	1621.287473	0.000000	0.000000	0.000000	0	1.369998	435.467881	226.507967	-356.554766	-249.895247	226.178925	-357.593404	-244.504922	46.703354	0.000000	-420.000000	0	5.499331	0.070095	0.006005	226.343446	-357.074085	-247.200085	179.640092	357.074085	172.799915	357.593404	175.495078	197.104753	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1621.498343	-420.000000	0.000000	45.000000	1668.671290	0.000000	0.000000	0.000000	0	1.359681	435.461667	226.500574	-356.540259	-249.877159	226.076588	-357.640208	-244.507017	46.703354	0.000000	-420.000000	0	5.498007	0.001323	0.006215	226.288581	-357.090234	-247.192088	179.585227	357.090234	172.807912	357.640208	175.492983	197.122841	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1668.883016	-420.000000	0.000000	46.000000	1715.506331	0.000000	0.000000	0.000000	0	1.430770	435.471283	226.410928	-356.530251	-249.853318	226.320551	-357.543854	-244.423046	46.703354	0.000000	-420.000000	0	5.524800	0.026792	0.009616	226.365739	-357.037053	-247.138182	179.662386	357.037053	172.861818	357.543854	175.576954	197.146682	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1715.728322	-420.000000	0.000000	47.000000	1762.597581	0.000000	0.000000	0.000000	0	1.370762	435.435227	226.393344	-356.546702	-249.867801	226.105799	-357.610949	-244.521407	46.703354	0.000000	-420.000000	0	5.458868	0.065932	0.036056	226.249572	-357.078826	-247.194604	179.546218	357.078826	172.805396	357.610949	175.478593	197.132199	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1762.809307	-420.000000	0.000000	48.000000	1809.652902	0.000000	0.000000	0.000000	0	1.408285	435.468627	226.591743	-356.500623	-249.856102	226.192477	-357.582638	-244.507382	46.703354	0.000000	-420.000000	0	5.471653	0.012785	0.033400	226.392110	-357.041631	-247.181742	179.688756	357.041631	172.818258	357.582638	175.492618	197.143898	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1809.874466	-420.000000	0.000000	49.000000	1856.668872	0.000000	0.000000	0.000000	0	1.516326	435.343404	226.562973	-356.336372	-249.925512	226.273389	-357.467515	-244.546123	46.703354	0.000000	-420.000000	0	5.504650	0.032997	0.125223	226.418181	-356.901944	-247.235817	179.714827	356.901944	172.764183	357.467515	175.453877	197.074488	0	0	1	0	0
nt	1	63.500000	52	3	1	8.000000	35.000000	0.245897	1856.981542	-420.000000	0.000000	50.000000	1903.701096	0.000000	0.000000	0.000000	0	1.855177	434.661686	226.071500	-355.791489	-250.284427	226.015195	-357.174494	-245.112469	46.703354	0.000000	-420.000000	0	5.353973	0.150677	0.681718	226.043348	-356.482992	-247.698448	179.339994	356.482992	172.301552	357.174494	174.887531	196.715573	0	0	1	0	0
