subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	887.250157	-420.000000	0.000000	30.000000	934.580283	0.000000	0.000000	0.000000	0	4.201482	439.739452	226.095103	-355.223110	-245.095949	226.682218	-361.609115	-235.052523	46.012955	0.000000	-420.000000	0	11.916214	0.024880	0.043533	226.388660	-358.416113	-240.074236	180.375706	358.416113	179.925764	361.609115	184.947477	211.904051	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	934.770195	-420.000000	0.000000	31.000000	981.213635	0.000000	0.000000	0.000000	0	4.232862	439.795681	226.265180	-355.312088	-245.078226	226.649709	-361.598026	-235.088482	46.012955	0.000000	-420.000000	0	11.809143	0.107071	0.056229	226.457444	-358.455057	-240.083354	180.444489	358.455057	179.916646	361.598026	184.911518	211.921774	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	981.315007	-420.000000	0.000000	32.000000	1028.113463	0.000000	0.000000	0.000000	0	4.362233	439.911526	226.422933	-355.351165	-245.035311	226.769374	-361.643636	-235.012066	46.012955	0.000000	-420.000000	0	11.839792	0.030648	0.115845	226.596154	-358.497401	-240.023689	180.583199	358.497401	179.976311	361.643636	184.987934	211.964689	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1028.212269	-420.000000	0.000000	33.000000	1075.640345	0.000000	0.000000	0.000000	0	4.149238	439.734348	226.169748	-355.304955	-245.091858	226.534813	-361.589909	-235.133418	46.012955	0.000000	-420.000000	0	11.781530	0.058262	0.177179	226.352281	-358.447432	-240.112638	180.339326	358.447432	179.887362	361.589909	184.866582	211.908142	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1075.737868	-420.000000	0.000000	34.000000	1122.486279	0.000000	0.000000	0.000000	0	4.183832	439.763901	226.088455	-355.288331	-245.103427	226.657337	-361.630415	-235.066291	46.012955	0.000000	-420.000000	0	11.886536	0.105006	0.029553	226.372896	-358.459373	-240.084859	180.359941	358.459373	179.915141	361.630415	184.933709	211.896573	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1122.583802	-420.000000	0.000000	35.000000	1169.608528	0.000000	0.000000	0.000000	0	4.299720	439.885023	226.458742	-355.394658	-245.025838	226.593563	-361.632726	-235.075560	46.012955	0.000000	-420.000000	0	11.744773	0.141763	0.121122	226.526153	-358.513692	-240.050699	180.513198	358.513692	179.949301	361.632726	184.924440	211.974162	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1169.706906	-420.000000	0.000000	36.000000	1216.813328	0.000000	0.000000	0.000000	0	4.315509	439.885694	226.378245	-355.366928	-245.014241	226.667200	-361.643529	-235.043271	46.012955	0.000000	-420.000000	0	11.785562	0.040788	0.000671	226.522722	-358.505229	-240.028756	180.509768	358.505229	179.971244	361.643529	184.956729	211.985759	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1216.912134	-420.000000	0.000000	37.000000	1263.956108	0.000000	0.000000	0.000000	0	4.220952	439.804917	226.126423	-355.329901	-245.119538	226.706131	-361.630515	-235.019673	46.012955	0.000000	-420.000000	0	11.918098	0.132536	0.080777	226.416277	-358.480208	-240.069606	180.403322	358.480208	179.930394	361.630515	184.980327	211.880462	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1264.054058	-420.000000	0.000000	38.000000	1310.802042	0.000000	0.000000	0.000000	0	4.250114	439.822032	226.269214	-355.353050	-245.064498	226.631177	-361.603063	-235.050493	46.012955	0.000000	-420.000000	0	11.809910	0.108188	0.017115	226.450196	-358.478057	-240.057496	180.437241	358.478057	179.942504	361.603063	184.949507	211.935502	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1311.019757	-420.000000	0.000000	39.000000	1358.050899	0.000000	0.000000	0.000000	0	4.224976	439.783695	226.130826	-355.286666	-245.075239	226.658370	-361.623661	-235.024460	46.012955	0.000000	-420.000000	0	11.893443	0.083533	0.038337	226.394598	-358.455164	-240.049849	180.381643	358.455164	179.950151	361.623661	184.975540	211.924761	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1358.152699	-420.000000	0.000000	40.000000	1405.314726	0.000000	0.000000	0.000000	0	4.260906	439.840996	226.276087	-355.365475	-245.060966	226.633810	-361.622728	-235.034780	46.012955	0.000000	-420.000000	0	11.823941	0.069501	0.057302	226.454949	-358.494102	-240.047873	180.441994	358.494102	179.952127	361.622728	184.965220	211.939034	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1405.413105	-420.000000	0.000000	41.000000	1451.486129	0.000000	0.000000	0.000000	0	4.266481	439.828493	226.227278	-355.320343	-245.049028	226.633737	-361.638018	-234.999377	46.012955	0.000000	-420.000000	0	11.877445	0.053504	0.012503	226.430507	-358.479180	-240.024203	180.417553	358.479180	179.975797	361.638018	185.000623	211.950972	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1451.587074	-420.000000	0.000000	42.000000	1499.465123	0.000000	0.000000	0.000000	0	4.300347	439.851448	226.291216	-355.321279	-245.017425	226.681028	-361.634473	-235.025104	46.012955	0.000000	-420.000000	0	11.826024	0.051421	0.022955	226.486122	-358.477876	-240.021265	180.473167	358.477876	179.978735	361.634473	184.974896	211.982575	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1499.563073	-420.000000	0.000000	43.000000	1546.761458	0.000000	0.000000	0.000000	0	4.309124	439.874902	226.338730	-355.363617	-245.023366	226.672787	-361.633190	-235.025680	46.012955	0.000000	-420.000000	0	11.805629	0.020395	0.023454	226.505758	-358.498403	-240.024523	180.492803	358.498403	179.975477	361.633190	184.974320	211.976634	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1546.859408	-420.000000	0.000000	44.000000	1593.605253	0.000000	0.000000	0.000000	0	4.278904	439.821405	226.149794	-355.276312	-245.045131	226.734071	-361.645712	-234.988453	46.012955	0.000000	-420.000000	0	11.918365	0.112736	0.053497	226.441933	-358.461012	-240.016792	180.428978	358.461012	179.983208	361.645712	185.011547	211.954869	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1593.703204	-420.000000	0.000000	45.000000	1640.508504	0.000000	0.000000	0.000000	0	4.371063	439.908740	226.195099	-355.332444	-245.047624	226.904328	-361.658067	-234.911658	46.012955	0.000000	-420.000000	0	11.968890	0.050526	0.087335	226.549713	-358.495256	-239.979641	180.536759	358.495256	180.020359	361.658067	185.088342	211.952376	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1640.606454	-420.000000	0.000000	46.000000	1687.621770	0.000000	0.000000	0.000000	0	4.308187	439.824040	226.029302	-355.228933	-245.062753	226.880798	-361.659689	-234.917735	46.012955	0.000000	-420.000000	0	12.041639	0.072749	0.084700	226.455050	-358.444311	-239.990244	180.442095	358.444311	180.009756	361.659689	185.082265	211.937247	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1687.720575	-420.000000	0.000000	47.000000	1735.024609	0.000000	0.000000	0.000000	0	4.377009	439.832980	225.760432	-355.083271	-245.142844	227.252705	-361.727183	-234.741627	46.012955	0.000000	-420.000000	0	12.431965	0.390326	0.008940	226.506568	-358.405227	-239.942235	180.493614	358.405227	180.057765	361.727183	185.258373	211.857156	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1735.122132	-420.000000	0.000000	48.000000	1781.744791	0.000000	0.000000	0.000000	0	4.131633	439.545601	225.714646	-354.941710	-245.271800	226.978957	-361.519579	-235.001390	46.012955	0.000000	-420.000000	0	12.261654	0.170311	0.287378	226.346802	-358.230645	-240.136595	180.333847	358.230645	179.863405	361.519579	184.998610	211.728200	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1781.899202	-420.000000	0.000000	49.000000	1828.982954	0.000000	0.000000	0.000000	0	4.434293	439.283856	225.601635	-354.546012	-245.306660	227.785316	-360.868180	-234.857329	46.012955	0.000000	-420.000000	0	12.406723	0.145069	0.261746	226.693475	-357.707096	-240.081995	180.680521	357.707096	179.918005	360.868180	185.142671	211.693340	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1829.085610	-420.000000	0.000000	50.000000	1876.952965	1864.846472	0.000000	0.000000	0	8.253397	435.989319	227.754968	-349.357220	-245.527944	229.977856	-355.884696	-234.973742	46.012955	0.000000	-420.000000	0	12.607154	0.200431	3.294537	228.866412	-352.620958	-240.250843	182.853457	352.620958	179.749157	355.884696	185.026258	211.472056	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1877.078291	-420.000000	0.000000	51.000000	1923.979830	1864.846472	0.000000	0.000000	0	17.911946	427.495450	230.809876	-338.833887	-246.884180	230.035698	-344.850316	-235.964025	46.012955	0.000000	-420.000000	0	12.491860	0.115295	8.493869	230.422787	-341.842102	-241.424102	184.409832	341.842102	178.575898	344.850316	184.035975	210.115820	0	0	1	0	0
mm	6	61.000000	84	2	45	8.000000	45.000000	0.541986	2.522900	1924.085907	-420.000000	0.000000	52.000000	1970.845012	1864.846472	0.000000	0.000000	0	33.171268	410.599736	229.802193	-325.841025	-254.574836	222.079362	-324.964760	-237.108761	46.012955	0.000000	-420.000000	0	19.117368	6.625508	16.895715	225.940778	-325.402892	-245.841799	179.927823	325.402892	174.158201	324.964760	182.891239	202.425164	0	0	1	0	0
