subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	934.341315	-420.000000	0.000000	30.000000	981.486258	0.000000	0.000000	0.000000	0	3.980908	440.277834	232.642819	-356.884226	-247.378404	235.847991	-355.067757	-239.172895	44.787842	0.000000	-420.000000	0	8.994613	0.437618	0.130826	234.245405	-355.975992	-243.275649	189.457563	355.975992	176.724351	355.067757	180.827105	199.621596	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	981.683440	-420.000000	0.000000	31.000000	1029.005462	0.000000	0.000000	0.000000	0	3.332510	437.467161	231.822152	-354.587398	-248.084772	234.338787	-351.997495	-239.166870	44.787842	0.000000	-420.000000	0	9.621332	0.626718	2.810672	233.080469	-353.292446	-243.625821	188.292627	353.292446	176.374179	351.997495	180.833130	198.915228	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1029.104694	-420.000000	0.000000	32.000000	1076.007116	1064.514515	0.000000	0.000000	0	11.488309	427.643243	228.630761	-346.122819	-249.710341	228.258909	-341.450219	-238.382389	44.787842	0.000000	-420.000000	0	12.259444	2.638112	9.823918	228.444835	-343.786519	-244.046365	183.656993	343.786519	175.953635	341.450219	181.617611	197.289659	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1076.113192	-420.000000	0.000000	33.000000	1134.929098	1064.514515	0.000000	0.000000	0	32.478302	408.305073	224.385593	-326.446809	-253.757254	224.021542	-320.451997	-240.390095	44.787842	0.000000	-420.000000	0	14.654393	2.394949	19.338170	224.203567	-323.449403	-247.073675	179.415725	323.449403	172.926325	320.451997	179.609905	193.242746	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1135.033891	-420.000000	0.000000	34.000000	1182.265662	1064.514515	0.000000	0.000000	0	55.524747	387.610218	224.336100	-303.402251	-261.416398	221.755027	-298.594961	-244.723121	44.787842	0.000000	-420.000000	0	17.562388	2.907994	20.694855	223.045563	-300.998606	-253.069759	178.257722	300.998606	166.930241	298.594961	175.276879	185.583602	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1182.364467	-420.000000	0.000000	35.000000	1229.070562	1064.514515	0.000000	0.000000	0	83.027524	362.700048	222.331305	-276.892343	-271.055257	218.430402	-272.580483	-251.213268	44.787842	0.000000	-420.000000	0	20.676405	3.114018	24.910170	220.380853	-274.736413	-261.134263	175.593011	274.736413	158.865737	272.580483	168.786732	175.944743	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1229.174927	-420.000000	0.000000	36.000000	1276.260416	1064.514515	0.000000	0.000000	0	113.232563	335.041194	218.094149	-247.916504	-281.852954	213.711899	-244.750289	-259.536569	44.787842	0.000000	-420.000000	0	22.961926	2.285521	27.658854	215.903024	-246.333396	-270.694762	171.115182	246.333396	149.305238	244.750289	160.463431	165.147046	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1276.362642	-420.000000	0.000000	37.000000	1323.159415	1064.514515	0.000000	0.000000	0	146.286125	304.854097	213.476127	-217.000615	-295.476952	207.085146	-214.274637	-268.489936	44.787842	0.000000	-420.000000	0	27.867088	4.905162	30.187097	210.280636	-215.637626	-281.983444	165.492795	215.637626	138.016556	214.274637	151.510064	151.523048	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1323.260359	-420.000000	0.000000	38.000000	1369.963032	1064.514515	0.000000	0.000000	0	179.078153	273.956773	206.318893	-187.940707	-312.195037	198.600471	-184.779115	-279.113284	44.787842	0.000000	-420.000000	0	34.117035	6.249946	30.897324	202.459682	-186.359911	-295.654160	157.671840	186.359911	124.345840	184.779115	140.886716	134.804963	0	0	1	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1370.121718	-420.000000	0.000000	39.000000	1417.151602	1064.514515	0.000000	0.000000	0	210.080744	243.732283	197.546042	-161.221251	-329.639228	187.660561	-158.786133	-291.684443	44.787842	0.000000	-420.000000	0	39.296543	5.179508	30.224490	192.603301	-160.003692	-310.661836	147.815459	160.003692	109.338164	158.786133	128.315557	117.360772	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1417.259817	-420.000000	0.000000	40.000000	1464.141280	1064.514515	0.000000	0.000000	0	239.383195	214.317211	186.744067	-137.683357	-347.731488	175.138442	-135.030704	-304.642549	44.787842	0.000000	-420.000000	0	44.703285	5.406743	29.415072	180.941255	-136.357030	-326.187018	136.153413	136.357030	93.812982	135.030704	115.357451	99.268512	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1464.255055	-420.000000	0.000000	41.000000	1511.381606	1064.514515	0.000000	0.000000	0	267.166197	185.904018	174.843299	-117.055020	-366.498012	161.660040	-113.379520	-318.041795	44.787842	0.000000	-420.000000	0	50.351888	5.648603	28.413193	168.251670	-115.217270	-342.269904	123.463828	115.217270	77.730096	113.379520	101.958205	80.501988	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1511.485543	-420.000000	0.000000	42.000000	1558.026535	1064.514515	0.000000	0.000000	0	293.265115	159.740921	162.972001	-97.489074	-383.096147	149.645792	-93.893041	-331.629153	44.787842	0.000000	-420.000000	0	53.285747	2.933859	26.163097	156.308897	-95.691057	-357.362650	111.521055	95.691057	62.637350	93.893041	88.370847	63.903853	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1558.129190	-420.000000	0.000000	43.000000	1605.451212	1064.514515	0.000000	0.000000	0	317.704925	135.278869	151.485269	-80.122681	-399.298661	136.881620	-75.918477	-344.085073	44.787842	0.000000	-420.000000	0	57.266763	3.981016	24.462052	144.183445	-78.020579	-371.691867	99.395603	78.020579	48.308133	75.918477	75.914927	47.701339	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1605.553866	-420.000000	0.000000	44.000000	1652.379296	1064.514515	0.000000	0.000000	0	340.258363	114.557635	143.254631	-63.349812	-413.460962	126.772952	-59.161035	-356.381994	44.787842	0.000000	-420.000000	0	59.558377	2.291614	20.721234	135.013791	-61.255424	-384.921478	90.225950	61.255424	35.078522	59.161035	63.618006	33.539038	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1652.481523	-420.000000	0.000000	45.000000	1699.492587	1064.514515	0.000000	0.000000	0	360.790124	96.088038	133.772551	-47.693510	-424.257836	117.575277	-43.051195	-365.474724	44.787842	0.000000	-420.000000	0	61.150282	1.591905	18.469597	125.673914	-45.372353	-394.866280	80.886072	45.372353	25.133720	43.051195	54.525276	22.742164	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1699.591392	-420.000000	0.000000	46.000000	1746.296204	1064.514515	0.000000	0.000000	0	377.867740	79.662309	123.878457	-35.528898	-434.000361	106.596759	-30.830666	-372.412979	44.787842	0.000000	-420.000000	0	64.138414	2.988131	16.425729	115.237608	-33.179782	-403.206670	70.449766	33.179782	16.793330	30.830666	47.587021	12.999639	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1746.394581	-420.000000	0.000000	47.000000	1793.414199	1064.514515	0.000000	0.000000	0	391.876749	65.834086	114.333216	-26.811215	-442.509847	96.333685	-21.593594	-379.313274	44.787842	0.000000	-420.000000	0	65.916716	1.778303	13.828223	105.333451	-24.202405	-410.911561	60.545609	24.202405	9.088439	21.593594	40.686726	4.490153	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1793.513432	-420.000000	0.000000	48.000000	1840.565558	1064.514515	0.000000	0.000000	0	402.851844	54.123759	104.990659	-21.389282	-450.914857	85.919165	-16.578329	-386.368920	44.787842	0.000000	-420.000000	0	67.476256	1.559540	11.710326	95.454912	-18.983806	-418.641889	50.667070	18.983806	1.358111	16.578329	33.631080	3.914857	0	0	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1840.726811	-420.000000	0.000000	49.000000	1887.959010	1064.514515	0.000000	0.000000	0	412.121100	44.186848	96.179708	-16.936930	-457.414051	76.041855	-12.891962	-392.062553	44.787842	0.000000	-420.000000	0	68.503382	1.027126	9.936911	86.110782	-14.914446	-424.738302	41.322940	14.914446	4.738302	12.891962	27.937447	10.414051	0	1	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1897.514862	-420.000000	0.000000	50.000000	1946.507159	1064.514515	0.000000	0.000000	0	421.969563	33.540632	85.866430	-12.095340	-462.518197	64.853309	-8.158221	-396.219302	44.787842	0.000000	-420.000000	0	69.660574	1.157193	10.646216	75.359869	-10.126781	-429.368749	30.572027	10.126781	9.368749	8.158221	23.780698	15.518197	0	1	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1946.605964	-420.000000	0.000000	51.000000	1993.362530	1064.514515	0.000000	0.000000	0	429.297346	26.894086	77.688364	-8.461842	-465.621966	57.931389	-4.046186	-399.210680	44.787842	0.000000	-420.000000	0	69.428344	0.232230	6.646546	67.809877	-6.254014	-432.416323	23.022035	6.254014	12.416323	4.046186	20.789320	18.621966	0	1	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	1993.493842	-420.000000	0.000000	52.000000	2040.641779	1064.514515	0.000000	0.000000	0	435.890750	22.619950	71.393318	-4.889988	-468.206374	51.407550	-0.376098	-402.042659	44.787842	0.000000	-420.000000	0	69.263579	0.164765	4.274136	61.400434	-2.633043	-435.124517	16.612592	2.633043	15.124517	0.376098	17.957341	21.206374	0	1	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2040.738445	-420.000000	0.000000	53.000000	2087.626752	1064.514515	0.000000	0.000000	0	441.904286	20.509368	65.667150	-2.272939	-470.607905	44.943579	3.271349	-404.592474	44.787842	0.000000	-420.000000	0	69.413563	0.149984	2.110582	55.305365	0.499205	-437.600189	10.517523	0.499205	17.600189	3.271349	15.407526	23.607905	0	1	0	0	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2087.767902	-420.000000	0.000000	54.000000	2134.629261	1064.514515	2122.866764	0.000000	0	447.175268	19.848580	58.594810	-1.155835	-472.588558	38.518548	6.670525	-405.994290	44.787842	0.000000	-420.000000	0	69.993605	0.580042	0.660788	48.556679	2.757345	-439.291424	3.768837	2.757345	19.291424	6.670525	14.005710	25.588558	0	1	0	1	0
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2134.735765	-420.000000	0.000000	55.000000	2181.461535	1064.514515	2122.866764	0.000000	1	447.175268	19.848580	58.594810	-1.155835	-472.588558	38.518548	6.670525	-405.994290	44.787842	0.000000	-420.000000	0	69.993605	0.000000	0.000000	48.556679	2.757345	-439.291424	3.768837	2.757345	19.291424	6.670525	14.005710	25.588558	0	1	0	1	1
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2181.565045	-420.000000	0.000000	56.000000	2228.700150	1064.514515	2122.866764	0.000000	1	447.175268	19.848580	58.594810	-1.155835	-472.588558	38.518548	6.670525	-405.994290	44.787842	0.000000	-420.000000	0	69.993605	0.000000	0.000000	48.556679	2.757345	-439.291424	3.768837	2.757345	19.291424	6.670525	14.005710	25.588558	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2228.796816	-420.000000	0.000000	57.000000	2276.090608	1064.514515	2122.866764	0.000000	0	454.206206	22.786764	38.399203	-1.003283	-459.430325	29.463472	8.296650	-419.968894	44.787842	0.000000	-420.000000	0	41.515546	28.478059	2.938184	33.931338	3.646684	-439.699610	10.856504	3.646684	19.699610	8.296650	0.031106	12.430325	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2276.189413	-420.000000	0.000000	58.000000	2322.791570	1064.514515	2122.866764	0.000000	0	454.664148	23.958498	37.839353	-0.699881	-457.558353	30.238638	7.695578	-424.690291	44.787842	0.000000	-420.000000	0	34.764409	6.751137	1.171734	34.038995	3.497848	-441.124322	10.748846	3.497848	21.124322	7.695578	4.690291	10.558353	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2322.891658	-420.000000	0.000000	59.000000	2369.633254	1064.514515	2122.866764	0.000000	0	455.157178	24.471259	37.252533	-0.086427	-457.437781	30.044025	7.520851	-425.501013	44.787842	0.000000	-420.000000	0	33.612355	1.152054	0.512762	33.648279	3.717212	-441.469397	11.139563	3.717212	21.469397	7.520851	5.501013	10.437781	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2369.742752	-420.000000	0.000000	60.000000	2416.634908	1064.514515	2122.866764	0.000000	0	454.853399	24.497700	37.517271	-0.195194	-457.497817	30.481000	6.949820	-425.968715	44.787842	0.000000	-420.000000	0	33.085413	0.526942	0.026440	33.999136	3.377313	-441.733266	10.788706	3.377313	21.733266	6.949820	5.968715	10.497817	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2416.742267	-420.000000	0.000000	61.000000	2463.514232	1064.514515	2122.866764	0.000000	0	453.954921	23.855860	38.232766	-0.878482	-457.321007	30.627195	6.286253	-425.317273	44.787842	0.000000	-420.000000	0	33.666261	0.580848	0.641840	34.429980	2.703885	-441.319140	10.357862	2.703885	21.319140	6.286253	5.317273	10.321007	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2463.612609	-420.000000	0.000000	62.000000	2510.707935	1064.514515	2122.866764	0.000000	0	453.596698	23.678748	38.498209	-1.409291	-457.207730	30.689145	6.176879	-425.269541	44.787842	0.000000	-420.000000	0	33.742841	0.076580	0.177111	34.593677	2.383794	-441.238636	10.194165	2.383794	21.238636	6.176879	5.269541	10.207730	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2510.807168	-420.000000	0.000000	63.000000	2557.683926	1064.514515	2122.866764	0.000000	0	453.485290	23.567408	38.529849	-1.373226	-457.113365	30.996626	6.088844	-425.283369	44.787842	0.000000	-420.000000	0	33.549674	0.193167	0.111340	34.763238	2.357809	-441.198367	10.024604	2.357809	21.198367	6.088844	5.283369	10.113365	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2557.782303	-420.000000	0.000000	64.000000	2604.836140	1064.514515	2122.866764	0.000000	0	453.638464	23.592152	38.108194	-1.322428	-456.924080	30.606139	6.178597	-425.118518	44.787842	0.000000	-420.000000	0	33.528197	0.021477	0.024744	34.357166	2.428085	-441.021299	10.430676	2.428085	21.021299	6.178597	5.118518	9.924080	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2604.940078	-420.000000	0.000000	65.000000	2651.696216	1064.514515	2122.866764	0.000000	0	453.695882	23.636405	37.879177	-1.304149	-456.836623	30.549355	6.174128	-425.160993	44.787842	0.000000	-420.000000	0	33.361601	0.166596	0.044253	34.214266	2.434989	-440.998808	10.573576	2.434989	20.998808	6.174128	5.160993	9.836623	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2651.798015	-420.000000	0.000000	66.000000	2698.539183	1064.514515	2122.866764	0.000000	0	453.776700	23.693860	37.879867	-1.217489	-456.857893	30.598651	6.244478	-425.275645	44.787842	0.000000	-420.000000	0	33.258614	0.102987	0.057455	34.239259	2.513495	-441.066769	10.548582	2.513495	21.066769	6.244478	5.275645	9.857893	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2698.641838	-420.000000	0.000000	67.000000	2746.030157	1064.514515	2122.866764	0.000000	0	453.806500	23.692455	37.976155	-1.192063	-456.861706	30.436885	6.283082	-425.228123	44.787842	0.000000	-420.000000	0	33.367679	0.109065	0.001405	34.206520	2.545510	-441.044914	10.581322	2.545510	21.044914	6.283082	5.228123	9.861706	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2746.128107	-420.000000	0.000000	68.000000	2792.935573	1064.514515	2122.866764	0.000000	0	453.750689	23.646846	37.702478	-1.226897	-456.698807	30.537591	6.177729	-425.217469	44.787842	0.000000	-420.000000	0	33.124594	0.243085	0.045609	34.120035	2.475416	-440.958138	10.667807	2.475416	20.958138	6.177729	5.217469	9.698807	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2793.033522	-420.000000	0.000000	69.000000	2840.332019	1064.514515	2122.866764	0.000000	0	453.693271	23.677657	37.909637	-1.304880	-456.743136	30.665485	6.154964	-425.422950	44.787842	0.000000	-420.000000	0	33.001228	0.123366	0.030810	34.287561	2.425042	-441.083043	10.500280	2.425042	21.083043	6.154964	5.422950	9.743136	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2840.486856	-420.000000	0.000000	70.000000	2887.231446	1064.514515	2122.866764	0.000000	0	453.551117	23.630783	38.054970	-1.439965	-456.775906	30.771673	6.040912	-425.437412	44.787842	0.000000	-420.000000	0	33.031971	0.030743	0.046874	34.413322	2.300473	-441.106659	10.374520	2.300473	21.106659	6.040912	5.437412	9.775906	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2887.337522	-420.000000	0.000000	71.000000	2934.346020	1064.514515	2122.866764	0.000000	0	453.653436	23.739660	37.955735	-1.416317	-456.836522	30.640482	6.081851	-425.499994	44.787842	0.000000	-420.000000	0	33.041087	0.009116	0.108877	34.298108	2.332767	-441.168258	10.489734	2.332767	21.168258	6.081851	5.499994	9.836522	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2934.449102	-420.000000	0.000000	72.000000	2981.297202	1064.514515	2122.866764	0.000000	0	453.826189	23.800732	38.002442	-1.212932	-456.852528	30.500751	6.238379	-425.533724	44.787842	0.000000	-420.000000	0	33.055482	0.014395	0.061072	34.251597	2.512724	-441.193126	10.536245	2.512724	21.193126	6.238379	5.533724	9.852528	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	2981.401140	-420.000000	0.000000	73.000000	3028.416481	1064.514515	2122.866764	0.000000	0	453.916436	23.850390	37.724510	-1.178985	-456.760643	30.446947	6.287242	-425.561091	44.787842	0.000000	-420.000000	0	32.895585	0.159897	0.049658	34.085728	2.554129	-441.160867	10.702114	2.554129	21.160867	6.287242	5.561091	9.760643	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3028.518280	-420.000000	0.000000	74.000000	3075.690170	1064.514515	2122.866764	0.000000	0	453.762930	23.742869	37.848041	-1.260907	-456.710958	30.532685	6.156471	-425.499260	44.787842	0.000000	-420.000000	0	32.904437	0.008852	0.107521	34.190363	2.447782	-441.105109	10.597479	2.447782	21.105109	6.156471	5.499260	9.710958	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3075.793252	-420.000000	0.000000	75.000000	3122.456574	1064.514515	2122.866764	0.000000	0	453.572978	23.625839	38.048167	-1.370696	-456.743466	30.569319	5.976359	-425.354787	44.787842	0.000000	-420.000000	0	33.093225	0.188788	0.117030	34.308743	2.302831	-441.049126	10.479099	2.302831	21.049126	5.976359	5.354787	9.743466	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3122.559656	-420.000000	0.000000	76.000000	3169.796132	1064.514515	2122.866764	0.000000	0	453.660498	23.718735	38.036841	-1.333716	-456.806460	30.581521	6.052704	-425.488167	44.787842	0.000000	-420.000000	0	33.029933	0.063292	0.092896	34.309181	2.359494	-441.147313	10.478661	2.359494	21.147313	6.052704	5.488167	9.806460	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3169.898787	-420.000000	0.000000	77.000000	3215.986816	1064.514515	2122.866764	0.000000	0	453.782423	23.770938	38.164089	-1.189765	-456.860762	30.528479	6.191581	-425.555122	44.787842	0.000000	-420.000000	0	33.057978	0.028044	0.052203	34.346284	2.500908	-441.207942	10.441558	2.500908	21.207942	6.191581	5.555122	9.860762	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3216.090753	-420.000000	0.000000	78.000000	3263.810134	1064.514515	2122.866764	0.000000	0	453.733354	23.751904	38.094848	-1.236581	-456.811841	30.629624	6.139927	-425.588583	44.787842	0.000000	-420.000000	0	32.939859	0.118119	0.019034	34.362236	2.451673	-441.200212	10.425606	2.451673	21.200212	6.139927	5.588583	9.811841	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3263.913644	-420.000000	0.000000	79.000000	3310.923852	1064.514515	2122.866764	0.000000	0	453.591329	23.658958	38.145436	-1.371113	-456.788123	30.567684	6.010142	-425.428201	44.787842	0.000000	-420.000000	0	33.096072	0.156213	0.092946	34.356560	2.319514	-441.108162	10.431282	2.319514	21.108162	6.010142	5.428201	9.788123	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3311.031639	-420.000000	0.000000	80.000000	3357.923368	1064.514515	2122.866764	0.000000	0	453.416088	23.607677	38.394061	-1.524273	-456.927941	30.887870	5.926128	-425.475796	44.787842	0.000000	-420.000000	0	33.182659	0.086587	0.051281	34.640966	2.200927	-441.201869	10.146876	2.200927	21.201869	5.926128	5.475796	9.927941	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3358.026450	-420.000000	0.000000	81.000000	3404.725701	1064.514515	2122.866764	0.000000	0	453.367605	23.549777	38.459171	-1.579619	-456.936684	30.784153	5.915639	-425.326327	44.787842	0.000000	-420.000000	0	33.381124	0.198466	0.057900	34.621662	2.168010	-441.131505	10.166180	2.168010	21.131505	5.915639	5.326327	9.936684	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3404.824933	-420.000000	0.000000	82.000000	3452.025908	1064.514515	2122.866764	0.000000	0	453.306210	23.535298	38.716982	-1.597891	-457.007698	30.992843	5.928101	-425.445074	44.787842	0.000000	-420.000000	0	33.354192	0.026933	0.014479	34.854912	2.165105	-441.226386	9.932930	2.165105	21.226386	5.928101	5.445074	10.007698	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3452.130274	-420.000000	0.000000	83.000000	3498.936884	1064.514515	2122.866764	0.000000	0	453.299131	23.543218	38.832596	-1.663417	-457.064298	30.801417	5.941143	-425.375815	44.787842	0.000000	-420.000000	0	33.563211	0.209019	0.007920	34.817006	2.138863	-441.220057	9.970836	2.138863	21.220057	5.941143	5.375815	10.064298	0	1	0	1	2
at	3	62.500000	78	1	36	8.000000	35.000000	0.725904	1.798410	3499.039966	-420.000000	0.000000	84.000000	3534.544314	1064.514515	2122.866764	3534.539609	0	453.273498	23.538926	  38.799746   -1.667112 -457.033398	  30.904025    5.902708 -425.434131	44.787842	0.000000	-420.000000	0	33.438873	0.124338	0.004291	2
