subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	886.295034	-420.000000	0.000000	30.000000	933.272282	0.000000	0.000000	0.000000	0	3.879820	430.464372	221.387283	-353.368611	-259.101198	223.744170	-359.015844	-251.216762	45.777405	0.000000	-420.000000	0	9.980505	0.025639	0.013149	222.565726	-356.192227	-255.158980	176.788322	356.192227	164.841020	359.015844	168.783238	197.898802	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	933.469466	-420.000000	0.000000	31.000000	980.094263	0.000000	0.000000	0.000000	0	3.834464	430.509158	221.355748	-353.364009	-259.094111	223.825136	-359.064684	-251.138551	45.777405	0.000000	-420.000000	0	10.093885	0.113380	0.044786	222.590442	-356.214346	-255.116331	176.813037	356.214346	164.883669	359.064684	168.861449	197.905889	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	980.200341	-420.000000	0.000000	32.000000	1027.403002	0.000000	0.000000	0.000000	0	3.829097	430.492343	221.266958	-353.344164	-259.088190	223.847007	-359.067484	-251.123702	45.777405	0.000000	-420.000000	0	10.141307	0.047423	0.016815	222.556982	-356.205824	-255.105946	176.779578	356.205824	164.894054	359.067484	168.876298	197.911810	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	1027.503947	-420.000000	0.000000	33.000000	1074.713880	0.000000	0.000000	0.000000	0	3.823851	430.516914	221.495421	-353.374428	-259.040752	223.764553	-359.029406	-251.182528	45.777405	0.000000	-420.000000	0	9.943814	0.197493	0.024571	222.629987	-356.201917	-255.111640	176.852582	356.201917	164.888360	359.029406	168.817472	197.959248	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	1074.815680	-420.000000	0.000000	34.000000	1121.857943	0.000000	0.000000	0.000000	0	3.813854	430.462825	221.507578	-353.342902	-258.980996	223.617454	-358.979194	-251.203444	45.777405	0.000000	-420.000000	0	9.834108	0.109706	0.054088	222.562516	-356.161048	-255.092220	176.785112	356.161048	164.907780	358.979194	168.796556	198.019004	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	1121.962737	-420.000000	0.000000	35.000000	1169.179086	0.000000	0.000000	0.000000	0	3.644053	430.579957	221.633697	-353.264495	-258.876617	223.919626	-358.995821	-251.022350	45.777405	0.000000	-420.000000	0	9.988147	0.154039	0.117131	222.776661	-356.130158	-254.949483	176.999256	356.130158	165.050517	358.995821	168.977650	198.123383	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	1169.279175	-420.000000	0.000000	36.000000	1216.246585	0.000000	0.000000	0.000000	0	3.671029	430.566113	221.859967	-353.128451	-258.987647	224.209711	-358.881756	-250.998132	45.777405	0.000000	-420.000000	0	10.121964	0.133817	0.013843	223.034839	-356.005103	-254.992890	177.257434	356.005103	165.007110	358.881756	169.001868	198.012353	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	1216.346674	-420.000000	0.000000	37.000000	1263.989899	0.000000	0.000000	0.000000	0	5.828919	428.674937	221.996479	-352.001604	-261.735114	223.465295	-357.579026	-252.237284	45.777405	0.000000	-420.000000	0	11.111878	0.989914	1.891176	222.730887	-354.790315	-256.986199	176.953482	354.790315	163.013801	357.579026	167.762716	195.264886	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	1264.094265	-420.000000	0.000000	38.000000	1310.835833	1299.381630	0.000000	0.000000	0	14.734528	419.723323	222.995456	-344.357952	-271.632674	221.196512	-349.533218	-253.990562	45.777405	0.000000	-420.000000	0	18.473324	7.361446	8.951614	222.095984	-346.945585	-262.811618	176.318579	346.945585	157.188382	349.533218	166.009438	185.367326	0	0	1	0	0
rhh	2	65.000000	19	2	50	8.000000	45.000000	0.533160	2.476649	1311.062103	-420.000000	0.000000	39.000000	1358.355871	1299.381630	0.000000	0.000000	0	32.329917	402.785321	223.289418	-329.814811	-284.396725	218.770185	-331.710242	-258.155708	45.777405	0.000000	-420.000000	0	26.694702	8.221379	16.938002	221.029801	-330.762526	-271.276216	175.252396	330.762526	148.723784	331.710242	161.844292	172.603275	0	0	1	0	0
