subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	887.887580	-420.000000	0.000000	30.000000	934.568011	0.000000	0.000000	0.000000	0	6.428307	428.102282	213.130462	-352.422443	-255.630172	217.039803	-357.059372	-248.014072	44.361221	0.000000	-420.000000	0	9.735966	0.069821	0.096406	215.085133	-354.740908	-251.822122	170.723911	354.740908	168.177878	357.059372	171.985928	181.369828	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	934.761771	-420.000000	0.000000	31.000000	981.564532	0.000000	0.000000	0.000000	0	6.337362	428.177553	213.299105	-352.457696	-255.637748	217.106070	-357.089672	-248.000082	44.361221	0.000000	-420.000000	0	9.709899	0.026067	0.075271	215.202588	-354.773684	-251.818915	170.841366	354.773684	168.181085	357.089672	171.999918	181.362252	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	981.672747	-420.000000	0.000000	32.000000	1028.781333	0.000000	0.000000	0.000000	0	6.356361	428.177767	213.159087	-352.452030	-255.638079	217.209794	-357.120296	-248.014442	44.361221	0.000000	-420.000000	0	9.814316	0.104416	0.000214	215.184440	-354.786163	-251.826260	170.823219	354.786163	168.173740	357.120296	171.985558	181.361921	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	1028.880565	-420.000000	0.000000	33.000000	1075.763311	0.000000	0.000000	0.000000	0	6.327556	428.195054	213.250128	-352.458810	-255.635621	217.196622	-357.118795	-248.019113	44.361221	0.000000	-420.000000	0	9.762247	0.052068	0.017287	215.223375	-354.788802	-251.827367	170.862154	354.788802	168.172633	357.118795	171.980887	181.364379	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	1075.862544	-420.000000	0.000000	34.000000	1122.951027	0.000000	0.000000	0.000000	0	6.332602	428.194902	213.213649	-352.459988	-255.638065	217.222512	-357.123688	-248.019493	44.361221	0.000000	-420.000000	0	9.791002	0.028755	0.000152	215.218081	-354.791838	-251.828779	170.856859	354.791838	168.171221	357.123688	171.980507	181.361935	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	1123.050687	-420.000000	0.000000	35.000000	1169.926161	0.000000	0.000000	0.000000	0	6.315372	428.216259	213.190939	-352.442716	-255.637943	217.245836	-357.166663	-247.965707	44.361221	0.000000	-420.000000	0	9.880337	0.089335	0.021357	215.218387	-354.804689	-251.801825	170.857166	354.804689	168.198175	357.166663	172.034293	181.362057	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	1170.025394	-420.000000	0.000000	36.000000	1217.031325	0.000000	0.000000	0.000000	0	6.316562	428.204964	213.326781	-352.473670	-255.640710	217.131293	-357.112410	-247.992947	44.361221	0.000000	-420.000000	0	9.720108	0.160229	0.011295	215.229037	-354.793040	-251.816828	170.867816	354.793040	168.183172	357.112410	172.007053	181.359290	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	1217.130130	-420.000000	0.000000	37.000000	1264.460279	0.000000	0.000000	0.000000	0	6.472646	428.092518	213.027406	-352.438468	-255.654275	217.042653	-357.075866	-248.006565	44.361221	0.000000	-420.000000	0	9.803833	0.083725	0.112446	215.035030	-354.757167	-251.830420	170.673808	354.757167	168.169580	357.075866	171.993435	181.345725	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	1264.558656	-420.000000	0.000000	38.000000	1311.034633	0.000000	0.000000	0.000000	0	6.323756	428.178018	213.336037	-352.452563	-255.655521	217.130040	-357.080845	-248.012366	44.361221	0.000000	-420.000000	0	9.707383	0.096449	0.085500	215.233039	-354.766704	-251.833943	170.871817	354.766704	168.166057	357.080845	171.987634	181.344479	0	0	1	0	0
baf	3	61.000000	86	3	18	8.000000	25.000000	0.201950	3.229447	1311.271594	-420.000000	0.000000	39.000000	1358.444767	0.000000	0.000000	0.000000	0	6.338241	428.177453	213.327894	-352.473126	-255.656184	217.088536	-357.076086	-247.997480	44.361221	0.000000	-420.000000	0	9.694608	0.012776	0.000565	215.208215	-354.774606	-251.826832	170.846994	354.774606	168.173168	357.076086	172.002520	181.343816	0	0	1	0	0
